window_size,flags_urg,ack,stream,class
512,0,1484526999,0,0
512,0,1365463616,1,0
1975808,4717865,4717865,0,1
42496,1,1,0,1
1975808,4718617,4718617,0,1
42496,1,1,0,1
1975808,4783777,4783777,0,1
512,0,1246342765,2,0
512,0,860642214,3,0
512,0,1146104215,4,0
42496,1,1,0,1
1975808,4914849,4914849,0,1
1975808,4980761,4980761,0,1
42496,1,1,0,1
512,0,344724992,190,0
512,0,649243930,191,0
512,0,1448524451,192,0
512,0,1985759384,193,0
512,0,2130472061,194,0
512,0,569344664,195,0
42496,1,1,0,1
1975808,5111081,5111081,0,1
42496,1,1,0,1
1975808,5111833,5111833,0,1
42496,1,1,0,1
1975808,5176993,5176993,0,1
42496,1,1,0,1
1975808,5242153,5242153,0,1
512,0,333625846,93,0
512,0,2144317844,94,0
512,0,764940937,95,0
512,0,918927076,96,0
512,0,459849880,97,0
42496,1,1,0,1
1975808,4980009,4980009,0,1
42496,1,1,0,1
512,0,1917603845,123,0
512,0,311518732,124,0
512,0,767822959,125,0
512,0,1903973817,126,0
512,0,343931084,127,0
512,0,690936375,257,0
512,0,638687631,258,0
42496,1,1,0,1
281088,224481,224481,0,1
42496,1,1,0,1
306688,237497,237497,0,1
42496,1,1,0,1
330240,249081,249081,0,1
42496,1,1,0,1
367616,267905,267905,0,1
42496,1,1,0,1
1975808,5373225,5373225,0,1
512,0,212678606,259,0
512,0,2072821755,260,0
512,0,1327361592,261,0
408064,288177,288177,0,1
42496,1,1,0,1
488448,331617,331617,0,1
42496,1,1,0,1
42496,1,1,0,1
1975808,5242905,5242905,0,1
42496,1,1,0,1
1975808,5308065,5308065,0,1
512,0,1679269236,299,0
101376,85457,85457,0,1
42496,1,1,0,1
101376,99937,99937,0,1
512,0,936100835,294,0
512,0,173729233,19,0
512,0,1572479871,20,0
512,0,1069031056,21,0
512,0,305107826,22,0
42496,8713,8713,0,1
42496,1,1,0,1
42496,10161,10161,0,1
42496,8713,8713,0,1
41984,18849,18849,0,1
42496,1,1,0,1
41984,21745,21745,0,1
512,0,1824833540,296,0
512,0,423679907,297,0
42496,1,1,0,1
101376,78217,78217,0,1
42496,1,1,0,1
1975808,4848937,4848937,0,1
42496,1,1,0,1
1975808,4849689,4849689,0,1
512,0,725893216,89,0
512,0,1717222519,90,0
512,0,21732034,91,0
502784,338857,338857,0,1
42496,1,1,0,1
502784,377953,377953,0,1
512,0,1760987950,101,0
512,0,519006437,102,0
42496,1,1,0,1
512,0,1419163492,98,0
512,0,4555861,99,0
512,0,276334426,100,0
512,0,1649592331,92,0
1975808,5045921,5045921,0,1
